OBJECTID *,ID_EXPLORACION,ID_ESTUDIO,ID_FUENTE,NO_ESTUDIO,NO_EXPLORACION,CLASE_EXPLORACION,TIPO_EXPLORACION,PROF_EXPLORACION__m_,NIVEL_FREATICO__m_,EQUIPO_UTILIZADO,FECHA,NO_REFERENCIA,REF_SECTOR,REF_UBICACION,ESTE,NORTE,COD,Shape *,X_wgs_1,Y_wgs_1,X_wgs,Y_wgs,,
58,AUS16P1,AUS16,AUS,16,1,P,PERFORACION,25,"2,5",<Null>,<Null>,PERFORACION 1,LAS VILLAS,LAS VILLAS,4962953.906,2172942.915,58,Point,-73.334622,5.56509,-73.33455035,5.565235152,,
59,AUS16P3,AUS16,AUS,16,3,P,PERFORACION,25,"3,5",<Null>,<Null>,PERFORACION 2,LAS VILLAS,LAS VILLAS,4962953.906,2172942.915,59,Point,-73.334622,5.56509,-73.33446967,5.565179147,,
60,AUS16P8,AUS16,AUS,16,8,P,PERFORACION,25.5,"3,2",<Null>,<Null>,PERFORACION 4,LAS VILLAS,LAS VILLAS,4962953.906,2172942.915,60,Point,-73.334622,5.56509,-73.33443425,5.565185759,,
61,AIJ17P1,AIJ17,AIJ,17,1,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 1,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4961081.937,2171916.245,61,Point,-73.351525,5.555789,-73.351525,5.555789,,
62,AIJ17P2,AIJ17,AIJ,17,2,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 2,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4961081.937,2171916.245,62,Point,-73.351525,5.555789,-73.35139493,5.555926066,,
63,AIJ17P3,AIJ17,AIJ,17,3,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 3,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4961081.937,2171916.245,63,Point,-73.351525,5.555789,-73.35134902,5.555899528,,
64,AIJ17P4,AIJ17,AIJ,17,4,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 4,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4961081.937,2171916.245,64,Point,-73.351525,5.555789,-73.35135116,5.555827698,,
65,SIS18P2,SIS18,SIS,18,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION 2,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4960981.574,2172008.583,65,Point,-73.352432,5.556624,-73.352432,5.556624,,
66,SIS18P4,SIS18,SIS,18,4,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION 3,JOSE JOAQUIN CAMACHO ,JOSE JOAQUIN CAMACHO ,4960981.574,2172008.583,66,Point,-73.352432,5.556624,-73.35237857,5.556809363,,
67,AUS19P9,AUS19,AUS,19,9,P,PERFORACION,10.2,"2,5",<Null>,<Null>,PERFORACION9,LOMBARDIA,LOMBARDIA,4961697.535,2171022.737,67,Point,-73.34596,5.547706,-73.34596,5.547706,,
68,AUS19P10,AUS19,AUS,19,10,P,PERFORACION,12,3,<Null>,<Null>,PERFORACION10,LOMBARDIA,LOMBARDIA,4961697.535,2171022.737,68,Point,-73.34596,5.547706,-73.3457853,5.547872671,,
69,AUS19P11,AUS19,AUS,19,11,P,PERFORACION,12,"3,5",<Null>,<Null>,PERFORACION11,LOMBARDIA,LOMBARDIA,4961697.535,2171022.737,69,Point,-73.34596,5.547706,-73.3459352,5.547800031,,
70,AUS19P12,AUS19,AUS,19,12,P,PERFORACION,12,3,<Null>,<Null>,PERFORACION12,LOMBARDIA,LOMBARDIA,4961697.535,2171022.737,70,Point,-73.34596,5.547706,-73.34582205,5.547769153,,
71,LSG20P3,LSG20,LSG,20,3,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION3,LAS NIEVES ,LAS NIEVES,4960480.259,2169978.034,71,Point,-73.356949,5.538245,-73.356949,5.538245,,
72,LSG20P4,LSG20,LSG,20,4,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION4,LAS NIEVES ,LAS NIEVES,4960480.259,2169978.034,72,Point,-73.356949,5.538245,-73.35684664,5.538278852,,
73,IJA21P3,IJA21,IJA,21,3,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION3,<Null>,AV UNIVERSITARIA,4960029.07,2170635.711,73,Point,-73.361028,5.544194,-73.361028,5.544194,,
74,IJA21P4,IJA21,IJA,21,4,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION4,AV UNIVERSITARIA,AV UNIVERSITARIA,4960029.07,2170635.711,74,Point,-73.361028,5.544194,-73.36089435,5.544211089,,
75,AUS22P1,AUS22,AUS,22,1,P,PERFORACION,21,8,<Null>,<Null>,PERFORACION1,AV UNIVERSITARIA,AV UNIVERSITARIA,4961989.942,2172183.461,75,Point,-73.343325,5.558212,-73.343325,5.558212,,
76,AUS22P2,AUS22,AUS,22,2,P,PERFORACION,21,"1,5",<Null>,<Null>,PERFORACION2,AV UNIVERSITARIA,AV UNIVERSITARIA,4961989.942,2172183.461,76,Point,-73.343325,5.558212,-73.34317557,5.558343133,,
77,AUS22P4,AUS22,AUS,22,4,P,PERFORACION,21,"3,2",<Null>,<Null>,PERFORACION4,<Null>,AV UNIVERSITARIA,4961989.942,2172183.461,77,Point,-73.343325,5.558212,-73.34326651,5.558380857,,
78,AUS22P6,AUS22,AUS,22,6,P,PERFORACION,21,"3,2",<Null>,<Null>,PERFORACION6,<Null>,AV UNIVERSITARIA,4961989.942,2172183.461,78,Point,-73.343325,5.558212,-73.3431834,5.55831739,,
79,IJA23P1,IJA23,IJA,23,1,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION1,<Null>,<Null>,4961366.751,2167788.354,79,Point,-73.348931,5.518433,-73.348931,5.518433,,
80,IJA23P2,IJA23,IJA,23,2,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION2,<Null>,<Null>,4961366.751,2167788.354,80,Point,-73.348931,5.518433,-73.34889817,5.518510155,,
81,IJA23P3,IJA23,IJA,23,3,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION3,<Null>,<Null>,4961366.751,2167788.354,81,Point,-73.348931,5.518433,-73.34890323,5.518524133,,
82,IJA23P4,IJA23,IJA,23,4,P,PERFORACION,16,<Null>,<Null>,<Null>,PERFORACION4,<Null>,<Null>,4961366.751,2167788.354,82,Point,-73.348931,5.518433,-73.34881257,5.518542631,,
83,AUS24P1,AUS24,AUS,24,1,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION1,<Null>,<Null>,4960843.128,2169069.828,83,Point,-73.353667,5.530028,-73.353667,5.530028,,
84,AUS24P3,AUS24,AUS,24,3,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION3,<Null>,<Null>,4960843.128,2169069.828,84,Point,-73.353667,5.530028,-73.35351356,5.53005564,,
85,AUS24P4,AUS24,AUS,24,4,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION4,<Null>,<Null>,4960843.128,2169069.828,85,Point,-73.353667,5.530028,-73.35350336,5.530222747,,
86,AUS24P8,AUS24,AUS,24,8,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION8,<Null>,<Null>,4960843.128,2169069.828,86,Point,-73.353667,5.530028,-73.35352589,5.530173754,,
87,AUS24P10,AUS24,AUS,24,10,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION10,<Null>,<Null>,4960843.128,2169069.828,87,Point,-73.353667,5.530028,-73.35366165,5.530140853,,
88,AUS24P13,AUS24,AUS,24,13,P,PERFORACION,20,"4,5",<Null>,<Null>,PERFORACION13,<Null>,<Null>,4960843.128,2169069.828,88,Point,-73.353667,5.530028,-73.35358152,5.530052837,,
89,AUS24P15,AUS24,AUS,24,15,P,PERFORACION,21,"4,5",<Null>,<Null>,PERFORACION15,<Null>,<Null>,4960843.128,2169069.828,89,Point,-73.353667,5.530028,-73.35350355,5.530157649,,
90,AUS24P16,AUS24,AUS,24,16,P,PERFORACION,22,"4,5",<Null>,<Null>,PERFORACION16,<Null>,<Null>,4960843.128,2169069.828,90,Point,-73.353667,5.530028,-73.35356752,5.530221429,,
91,IAF25P1,IAF25,IAF,25,1,P,PERFORACION,18,<Null>,<Null>,<Null>,SONDEO 1,<Null>,<Null>,4960681.603,2171537.72,91,Point,-73.355139,5.552361,-73.355139,5.552361,,
92,IAF25P2,IAF25,IAF,25,2,P,PERFORACION,18,<Null>,<Null>,<Null>,SONDEO 2,<Null>,<Null>,4960681.603,2171537.72,92,Point,-73.355139,5.552361,-73.35509498,5.552504854,,
93,SCE26P1,SCE26,SCE,26,1,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 1,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,93,Point,-73.346889,5.5465,-73.346889,5.5465,,
94,SCE26P2,SCE26,SCE,26,2,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 2,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,94,Point,-73.346889,5.5465,-73.34669699,5.54668167,,
95,SCE26P3,SCE26,SCE,26,3,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 3,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,95,Point,-73.346889,5.5465,-73.34685826,5.546686336,,
96,SCE26P4,SCE26,SCE,26,4,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 4,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,96,Point,-73.346889,5.5465,-73.34670069,5.546505107,,
97,SCE26P5,SCE26,SCE,26,5,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 5,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,97,Point,-73.346889,5.5465,-73.34675761,5.546574482,,
98,SCE26P6,SCE26,SCE,26,6,P,PERFORACION ,24,<Null>,<Null>,<Null>,PERFORACION 6,AV UNIVERSITARIA,<Null>,4961594.615,2170889.536,98,Point,-73.346889,5.5465,-73.34672843,5.546516037,,
99,PYA27P1,PYA27,PYA,27,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,BARRIO RODEO ,<Null>,4961983.784,2173759.194,99,Point,-73.343389,5.572472,-73.343389,5.572472,,
100,PYA27P2,PYA27,PYA,27,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,BARRIO RODEO ,<Null>,4961983.784,2173759.194,100,Point,-73.343389,5.572472,-73.34328731,5.572533737,,
101,PYA27P3,PYA27,PYA,27,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,BARRIO RODEO ,<Null>,4961983.784,2173759.194,101,Point,-73.343389,5.572472,-73.34328268,5.572648934,,
102,DEI28P1,DEI28,DEI,28,1,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION1,SANTA ANA,<Null>,4962153.937,2172851.475,102,Point,-73.341847,5.564258,-73.341847,5.564258,,
103,DEI28P2,DEI28,DEI,28,2,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION2,SANTA ANA,<Null>,4962169.022,2172878.477,103,Point,-73.341711,5.564503,-73.341711,5.564503,,
104,DEI28P3,DEI28,DEI,28,3,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION3,SANTA ANA,<Null>,4962197.624,2172881.223,104,Point,-73.341453,5.564528,-73.341453,5.564528,,
105,DEI28P4,DEI28,DEI,28,4,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION4,SANTA ANA,<Null>,4962207.786,2172903.624,105,Point,-73.341361,5.564731,-73.341361,5.564731,,
